epoch,train_loss,val_loss,val_accuracy,val_macro_f1,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1
1,1.3756517161162067,1.1464499847485068,0.6083788706739527,0.43418477327788485,0.935361216730038,0.9077490774907749,0.9213483146067416,0.30927835051546393,0.5454545454545454,0.39473684210526316,0.5714285714285714,0.16,0.25,0.23157894736842105,0.7586206896551724,0.3548387096774194,0.23076923076923078,0.2727272727272727,0.25
2,1.037601126528698,0.9431127798904704,0.7067395264116576,0.5456258876764778,0.931899641577061,0.959409594095941,0.9454545454545454,0.36633663366336633,0.6727272727272727,0.47435897435897434,0.7402597402597403,0.38,0.5022026431718062,0.3384615384615385,0.7586206896551724,0.46808510638297873,0.4444444444444444,0.2727272727272727,0.3380281690140845
3,0.8590732721951246,0.866469519711583,0.761384335154827,0.6138890483138103,0.9492753623188406,0.966789667896679,0.9579524680073126,0.5070422535211268,0.6545454545454545,0.5714285714285714,0.7387387387387387,0.5466666666666666,0.6283524904214559,0.39344262295081966,0.8275862068965517,0.5333333333333333,0.4666666666666667,0.3181818181818182,0.3783783783783784
4,0.7813082332263177,0.8606114320741977,0.7723132969034608,0.6292557755619466,0.9595588235294118,0.9630996309963099,0.9613259668508287,0.46153846153846156,0.7636363636363637,0.5753424657534246,0.8018867924528302,0.5666666666666667,0.6640625,0.4318181818181818,0.6551724137931034,0.5205479452054794,0.4722222222222222,0.38636363636363635,0.425
5,0.7036428383166,0.8976918968400885,0.761384335154827,0.6045731942565975,0.9390681003584229,0.966789667896679,0.9527272727272728,0.4430379746835443,0.6363636363636364,0.5223880597014925,0.7719298245614035,0.5866666666666667,0.6666666666666666,0.38095238095238093,0.5517241379310345,0.4507042253521127,0.4857142857142857,0.38636363636363635,0.43037974683544306
6,0.6666212153537079,0.8679960777335045,0.785063752276867,0.6425807286104025,0.9527272727272728,0.966789667896679,0.9597069597069597,0.5625,0.6545454545454545,0.6050420168067226,0.7899159663865546,0.6266666666666667,0.6988847583643123,0.3548387096774194,0.7586206896551724,0.4835164835164835,0.5862068965517241,0.38636363636363635,0.4657534246575342
7,0.6077693804511325,0.9081401102964127,0.7486338797814208,0.6199589042856095,0.9458483754512635,0.966789667896679,0.9562043795620438,0.40860215053763443,0.6909090909090909,0.5135135135135135,0.8048780487804879,0.44,0.5689655172413793,0.43137254901960786,0.7586206896551724,0.55,0.5,0.5227272727272727,0.5111111111111111
8,0.5521598809685411,0.9305429833997143,0.7741347905282332,0.6206245279409486,0.966789667896679,0.966789667896679,0.966789667896679,0.4166666666666667,0.7272727272727273,0.5298013245033113,0.75,0.62,0.6788321167883211,0.5161290322580645,0.5517241379310345,0.5333333333333333,0.5185185185185185,0.3181818181818182,0.39436619718309857
9,0.4932486310258211,0.9916594933670944,0.7777777777777778,0.622235420672079,0.9633699633699634,0.9704797047970479,0.9669117647058824,0.5373134328358209,0.6545454545454545,0.5901639344262295,0.734375,0.6266666666666667,0.6762589928057554,0.328125,0.7241379310344828,0.45161290322580644,0.7647058823529411,0.29545454545454547,0.4262295081967213
10,0.4358071343907145,0.9168494090655028,0.7905282331511839,0.6374609903828795,0.9704797047970479,0.9704797047970479,0.9704797047970479,0.5714285714285714,0.6545454545454545,0.6101694915254238,0.7575757575757576,0.6666666666666666,0.7092198581560284,0.3877551020408163,0.6551724137931034,0.48717948717948717,0.47058823529411764,0.36363636363636365,0.41025641025641024
11,0.4281465493279233,1.0498056457478058,0.7996357012750456,0.6333256328361603,0.9704797047970479,0.9704797047970479,0.9704797047970479,0.543859649122807,0.5636363636363636,0.5535714285714286,0.7307692307692307,0.76,0.7450980392156863,0.4146341463414634,0.5862068965517241,0.4857142857142857,0.5833333333333334,0.3181818181818182,0.4117647058823529
12,0.3970337821271705,0.9655964988502649,0.7795992714025501,0.6286249960444857,0.9669117647058824,0.9704797047970479,0.9686924493554327,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.75,0.62,0.6788321167883211,0.3283582089552239,0.7586206896551724,0.4583333333333333,0.5769230769230769,0.3409090909090909,0.42857142857142855
13,0.38656782666733613,0.9912776009659733,0.785063752276867,0.6371330577331812,0.9704797047970479,0.9704797047970479,0.9704797047970479,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.7404580152671756,0.6466666666666666,0.6903914590747331,0.3548387096774194,0.7586206896551724,0.4835164835164835,0.5666666666666667,0.38636363636363635,0.4594594594594595
14,0.369241467913612,1.0102114142453085,0.7905282331511839,0.6393297056644529,0.9669117647058824,0.9704797047970479,0.9686924493554327,0.5285714285714286,0.6727272727272727,0.592,0.7674418604651163,0.66,0.7096774193548387,0.36538461538461536,0.6551724137931034,0.4691358024691358,0.6153846153846154,0.36363636363636365,0.45714285714285713
15,0.3594845729184904,1.0683223254815803,0.7923497267759563,0.6405811822007739,0.9566787003610109,0.977859778597786,0.9671532846715328,0.5538461538461539,0.6545454545454545,0.6,0.7615384615384615,0.66,0.7071428571428572,0.38461538461538464,0.6896551724137931,0.49382716049382713,0.6,0.3409090909090909,0.43478260869565216
